job_id,num_gpu,submit_time,iterations,model_name,duration,interval
0,1,8555,5049,vgg16,747,14
1,1,832,296,vgg19,98,8
2,1,14341,3621,alexnet,30,17
3,1,16962,5458,inception3,158,5
4,1,13553,6315,inception3,26,20
5,1,11521,7266,vgg16,30,6
6,1,13874,6148,inception3,393,21
7,1,6915,8952,alexnet,157,14
8,1,3262,7681,vgg16,271,6
9,1,16967,8602,vgg19,163,8
10,1,276,4176,inception3,89,15
11,8,9176,7309,resnet101,122,12
12,4,1256,5274,resnet101,102,22
13,1,14418,2337,vgg19,30,7
14,1,3876,4586,vgg16,77,25
15,1,3885,5106,alexnet,68,9
16,4,18350,6280,vgg19,1601,16
17,1,3290,838,resnet101,35,12
18,1,3287,1301,alexnet,35,17
19,1,12309,6012,alexnet,31,18
20,1,16966,3355,inception3,148,15
