job_id,submit_time,iterations,model_name,duration,interval
0,8555,5049,vgg16,747,14
1,832,296,mobilenet_v2,98,8
2,14341,3621,alexnet,30,17
3,16962,5458,inception_v3,158,5
4,13553,6315,inception_v3,26,20
5,11521,7266,vgg16,30,6
6,13874,6148,inception_v3,393,21
7,6915,8952,alexnet,157,14
8,3262,7681,vgg16,271,6
9,16967,8602,mobilenet_v2,163,8
10,276,4176,inception_v3,89,15
11,9176,7309,resnet101,122,12
12,1256,5274,resnet101,102,22
13,14418,2337,mobilenet_v2,30,7
14,3876,4586,vgg16,77,25
15,3885,5106,alexnet,68,9
16,18350,6280,mobilenet_v2,1601,16
17,3290,838,resnet101,35,12
18,3287,1301,alexnet,35,17
19,12309,6012,alexnet,31,18
20,16966,3355,inception_v3,148,15
21,1331,5414,mobilenet_v2,41,23
22,6901,7858,mobilenet_v2,156,16
23,14341,6395,mobilenet_v2,23,13
24,13680,5912,vgg16,325,18
25,17839,7875,alexnet,20,25
26,14290,2597,vgg16,21,14
27,5709,7530,alexnet,178,16
28,77,176,alexnet,85,22
29,1030,9213,alexnet,59,15
30,829,6544,alexnet,57,15
31,2,2673,alexnet,82,5
32,19164,8131,vgg16,76,22
33,2356,6727,vgg16,258,12
34,19648,382,mobilenet_v2,378,11
35,13556,2206,inception_v3,22,5
36,14122,9600,vgg16,32,23
37,1163,9904,vgg16,21,5
38,18962,6009,alexnet,29,5
39,1415,4594,mobilenet_v2,39,22
40,1404,4974,inception_v3,41,5
41,2357,4534,alexnet,219,5
42,13552,9257,alexnet,27,10
43,306,3938,resnet101,247,7
44,10063,5119,inception_v3,3793,9
45,14423,3904,resnet101,26,21
46,8238,3580,mobilenet_v2,142,5
47,14339,7245,resnet101,27,25
48,1455,8672,alexnet,40,23
49,2348,3313,inception_v3,345,5
50,19435,9729,mobilenet_v2,74,23
51,18776,7271,inception_v3,21,8
52,11111,9536,resnet101,31,22
53,12078,1633,mobilenet_v2,21,5
54,13555,3711,alexnet,25,24
55,3861,4253,vgg16,1274,5
56,13915,5309,mobilenet_v2,30,6
57,11494,2861,resnet101,37,5
58,10903,6411,inception_v3,24,6
59,1364,5005,resnet101,100,10
